V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	7.32997e-05	7.86106e-05	8.72516e-05	0.000101589	0.000125502	0.000163389	0.000213738	0.000275528	0.000447342	0.00103701	0.00205872	0.00340992	0.00628307	0.0147655	0.0325447	0.0617158	0.109135	0.203323	0.401143	0.689655	0.887437	0.953704	0.968865	0.970252	0.967271	0.962674	0.950741	0.922045	0.87157	0.799256	0.705033	0.592441	0.473758	0.36493	0.276126	0.208852	0.159723	0.124355	0.0991331	0.0814293	0.0692644	0.0611103	0.0558136	0.0524365	0.0503006	0.0489991	0.0482104	0.0477412	0.0474666	0.0473063
ind	5.79143e-05	6.19024e-05	6.83988e-05	7.91944e-05	9.7265e-05	0.00012605	0.000164129	0.000208038	0.000326001	0.000750762	0.00157984	0.00292203	0.00604283	0.0151372	0.0335697	0.0624235	0.108883	0.202048	0.397923	0.685937	0.890242	0.962495	0.979831	0.981229	0.977433	0.971496	0.955273	0.916038	0.848143	0.755374	0.644205	0.524747	0.411038	0.314497	0.239263	0.183505	0.143164	0.114308	0.0939014	0.0797226	0.0700813	0.063677	0.0595456	0.0569243	0.0552718	0.0542667	0.0536583	0.0532966	0.0530849	0.0529612
ind	0.000310551	0.000333704	0.000372096	0.000437684	0.000553425	0.000756892	0.00107271	0.00147459	0.00236172	0.00526472	0.0092303	0.0106095	0.0116822	0.017601	0.0301991	0.053216	0.0963297	0.190867	0.400718	0.704698	0.896184	0.953514	0.96547	0.966373	0.964248	0.960551	0.949316	0.922308	0.875901	0.808528	0.714795	0.59297	0.45624	0.32877	0.228259	0.157491	0.110406	0.0795641	0.0592858	0.0458879	0.0370454	0.0312634	0.027562	0.025222	0.0237493	0.0228547	0.0223136	0.0219922	0.0218043	0.0216947
ind	0.0001122	0.00012053	0.00013411	0.00015669	0.000194752	0.000257091	0.000346301	0.000461786	0.000755298	0.00179568	0.00379626	0.00610877	0.00978351	0.0191982	0.0354015	0.059163	0.100487	0.192884	0.402469	0.708785	0.90036	0.95685	0.96857	0.969616	0.967731	0.964562	0.955758	0.935115	0.899366	0.84662	0.771935	0.671354	0.550934	0.4281	0.32088	0.23747	0.176739	0.133738	0.103585	0.0826378	0.0682967	0.0586785	0.0524172	0.0484159	0.0458805	0.0443338	0.0433958	0.0428377	0.042511	0.0423203
ind	2.40367e-05	2.55494e-05	2.80983e-05	3.26576e-05	4.15658e-05	6.05264e-05	9.99616e-05	0.000163254	0.000286947	0.000765956	0.00176031	0.00282997	0.00473479	0.0104508	0.0231852	0.0467277	0.0901966	0.185045	0.396808	0.703703	0.893966	0.949304	0.960315	0.960693	0.958447	0.953644	0.936513	0.899248	0.848301	0.786064	0.703087	0.592731	0.463533	0.337685	0.234959	0.161173	0.111793	0.0795835	0.0586024	0.0448792	0.0358973	0.0300588	0.0263356	0.0239874	0.0225117	0.0216161	0.0210748	0.0207535	0.0205657	0.0204562
ind	2.32324e-05	2.43192e-05	2.60856e-05	2.92006e-05	3.51222e-05	4.67032e-05	6.61094e-05	8.72028e-05	0.000129556	0.000303934	0.000656639	0.0014082	0.00388125	0.0127858	0.034002	0.0692038	0.121246	0.212832	0.392395	0.661343	0.874248	0.960534	0.983085	0.983884	0.977178	0.96619	0.930041	0.8545	0.763836	0.677682	0.594484	0.512514	0.434739	0.364818	0.304595	0.254156	0.212929	0.18022	0.155231	0.136942	0.124091	0.115383	0.109699	0.106067	0.103768	0.102367	0.101517	0.101012	0.100716	0.100543
ind	0.000105436	0.000113468	0.000126781	0.000149495	0.000189459	0.000259511	0.000369095	0.000519008	0.000893323	0.0022651	0.00494315	0.00807668	0.0128903	0.0237128	0.0396727	0.0615749	0.100958	0.191216	0.396933	0.699664	0.89173	0.949032	0.960909	0.961875	0.959793	0.956252	0.945793	0.92043	0.876182	0.811176	0.719974	0.600296	0.464328	0.335935	0.233627	0.161118	0.112752	0.0810908	0.0603287	0.046658	0.0376649	0.0318001	0.0280529	0.025687	0.0241994	0.0232962	0.02275	0.0224257	0.0222361	0.0221255
ind	0.000128265	0.000138178	0.000154744	0.000183427	0.000235549	0.000333212	0.000505073	0.000763887	0.00134347	0.00342339	0.00743008	0.0105439	0.0135134	0.0214148	0.0342061	0.0537854	0.0916737	0.183038	0.400339	0.718818	0.905991	0.956273	0.965865	0.966625	0.96528	0.96264	0.954298	0.935282	0.904482	0.860118	0.793692	0.694448	0.562111	0.416821	0.28815	0.192507	0.128705	0.0880783	0.0623971	0.0460338	0.035516	0.02875	0.0244571	0.0217555	0.020059	0.0190297	0.0184076	0.0180382	0.0178223	0.0176965
ind	0.000104667	0.000113052	0.000127102	0.000151432	0.000195248	0.000274985	0.000407117	0.000597339	0.00105398	0.00264658	0.00532299	0.00729378	0.00970033	0.0168284	0.0303344	0.05251	0.0934354	0.186886	0.401111	0.710323	0.895675	0.947497	0.957732	0.958545	0.95679	0.953682	0.944381	0.921794	0.882261	0.823143	0.736941	0.617883	0.475945	0.337917	0.227618	0.151009	0.101602	0.0704497	0.0506963	0.0380121	0.0297983	0.0244864	0.0211054	0.0189738	0.017634	0.0168207	0.016329	0.016037	0.0158663	0.0157667
ind	4.3472e-05	4.56487e-05	4.92803e-05	5.57835e-05	6.87901e-05	9.79814e-05	0.000163926	0.00027611	0.00047392	0.0012485	0.0029683	0.00491259	0.00818687	0.0166963	0.0318969	0.0549692	0.0956879	0.186259	0.390662	0.695467	0.896025	0.958219	0.971063	0.971253	0.9685	0.961592	0.93589	0.883329	0.816822	0.737395	0.633325	0.503116	0.365352	0.246392	0.159975	0.103725	0.0688713	0.0474128	0.0339929	0.0254353	0.0199067	0.0163299	0.0140496	0.0126096	0.0117032	0.0111525	0.0108194	0.0106215	0.0105059	0.0104385
