V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	6.71519e-07	7.22583e-07	8.0685e-07	9.5033e-07	1.20227e-06	1.65159e-06	2.47409e-06	4.60674e-06	1.82524e-05	0.000168722	0.000982089	0.00254775	0.00539804	0.0132201	0.0294356	0.0557422	0.0976134	0.179882	0.356481	0.63442	0.84994	0.929826	0.937745	0.854213	0.558908	0.30322	0.15106	0.0667024	0.0305911	0.0154233	0.00833371	0.00473394	0.00283598	0.00181323	0.00124884	0.000928135	0.000740451	0.000627724	0.00055863	0.000515789	0.000489043	0.000472318	0.000461956	0.000455544	0.000451563	0.000449159	0.000447708	0.000446844	0.000446337	0.000446039
ind	7.08731e-07	7.59639e-07	8.43572e-07	9.8621e-07	1.23584e-06	1.6767e-06	2.45411e-06	4.29905e-06	1.51728e-05	0.000129144	0.000767545	0.00219313	0.00519033	0.0135232	0.030264	0.0561514	0.0969296	0.177846	0.351742	0.627548	0.848661	0.934689	0.942535	0.846982	0.550605	0.309944	0.157016	0.0694746	0.0320171	0.0163759	0.00909718	0.00538448	0.00338941	0.00228027	0.00164534	0.00127144	0.00104578	0.000906909	0.000820264	0.000765857	0.000731601	0.000710062	0.00069667	0.000688365	0.000683203	0.000680083	0.000678198	0.000677076	0.000676416	0.000676029
ind	2.53125e-06	2.7275e-06	3.05648e-06	3.62975e-06	4.68103e-06	6.69595e-06	1.06478e-05	2.0228e-05	7.48453e-05	0.000686151	0.00396525	0.00769755	0.0100214	0.0159042	0.0277155	0.0489547	0.087972	0.172583	0.363529	0.658868	0.866311	0.934104	0.93752	0.852932	0.579197	0.336817	0.167061	0.0722773	0.0330407	0.0164546	0.00852115	0.00448555	0.00242402	0.00137561	0.000836983	0.00055261	0.000396991	0.000308627	0.000256808	0.00022571	0.000206743	0.000195075	0.000187929	0.000183542	0.000180834	0.000179207	0.000178228	0.000177649	0.000177309	0.000177111
ind	7.5886e-07	8.1801e-07	9.15824e-07	1.08268e-06	1.37832e-06	1.91957e-06	2.95479e-06	5.64139e-06	2.21736e-05	0.000217496	0.00152437	0.00425465	0.00820079	0.0170886	0.0321189	0.0538778	0.0907976	0.172328	0.3608	0.657322	0.867031	0.935402	0.938305	0.852052	0.57109	0.323359	0.163883	0.0740074	0.0348025	0.0177218	0.00943958	0.00515488	0.00290954	0.00173157	0.00110624	0.000765569	0.000573885	0.000462497	0.00039597	0.0003555	0.000330575	0.000315136	0.000305632	0.000299779	0.000296156	0.000293975	0.000292661	0.00029188	0.000291423	0.000291155
ind	2.52279e-07	2.68542e-07	2.96112e-07	3.45962e-07	4.45322e-07	6.6632e-07	1.18692e-06	2.46479e-06	9.02271e-06	0.000100706	0.000808274	0.00216634	0.00419536	0.00964578	0.0216257	0.0435915	0.0835607	0.17	0.365795	0.666149	0.870385	0.934191	0.936921	0.850462	0.589818	0.355978	0.163699	0.0694892	0.0347777	0.0194039	0.0109667	0.00608889	0.00337378	0.00192322	0.0011595	0.000752518	0.000529626	0.000403469	0.000329825	0.000285822	0.000259083	0.000242681	0.000232657	0.000226515	0.000222729	0.000220457	0.000219093	0.000218286	0.000217814	0.00021754
ind	5.27061e-07	5.52183e-07	5.93246e-07	6.66465e-07	8.08545e-07	1.0997e-06	1.66436e-06	2.74304e-06	8.16258e-06	6.91087e-05	0.000387579	0.00114382	0.00339826	0.0113324	0.0299785	0.0603199	0.104077	0.180381	0.33466	0.588436	0.821167	0.927371	0.942046	0.826152	0.50185	0.280032	0.126799	0.0537993	0.0280037	0.0173618	0.0117709	0.00840995	0.00629972	0.00496086	0.00410764	0.00356084	0.00320883	0.00298158	0.00283468	0.00274013	0.00267956	0.00264099	0.00261682	0.00260173	0.00259231	0.0025866	0.00258314	0.00258108	0.00257987	0.00257915
ind	8.08366e-07	8.72529e-07	9.8013e-07	1.16762e-06	1.51136e-06	2.172e-06	3.49316e-06	6.92343e-06	2.85525e-05	0.00030505	0.00217469	0.00592671	0.0111221	0.02151	0.036526	0.0567995	0.0924354	0.173332	0.360868	0.655184	0.863035	0.930834	0.935495	0.858293	0.587424	0.337957	0.167572	0.0724855	0.0329869	0.016358	0.00845207	0.0044445	0.00239915	0.00135873	0.000824063	0.000541806	0.000387422	0.000299826	0.000248499	0.000217718	0.000198955	0.000187419	0.000180355	0.00017602	0.000173344	0.000171736	0.000170769	0.000170196	0.000169861	0.000169665
ind	7.65081e-07	8.26494e-07	9.30207e-07	1.11316e-06	1.45768e-06	2.15551e-06	3.66049e-06	7.63003e-06	3.1142e-05	0.000344474	0.00277157	0.00725725	0.0114083	0.0193179	0.0315533	0.0499339	0.0846483	0.167329	0.366609	0.676937	0.879688	0.939216	0.939917	0.856381	0.594932	0.356653	0.180251	0.0813587	0.0394146	0.0205499	0.0108126	0.00557736	0.00285606	0.00149741	0.000829242	0.000495914	0.000323984	0.000231509	0.000179682	0.000149651	0.000131799	0.000121014	0.000114488	0.000110515	0.000108076	0.000106616	0.000105741	0.000105223	0.000104921	0.000104744
ind	6.84196e-07	7.4127e-07	8.38005e-07	1.00899e-06	1.32939e-06	1.96661e-06	3.30196e-06	6.88858e-06	2.98238e-05	0.000329698	0.00226851	0.00531307	0.00838137	0.0153384	0.0281194	0.0488572	0.0864202	0.171307	0.368741	0.671118	0.871317	0.932237	0.936054	0.866177	0.606212	0.351537	0.17307	0.0743693	0.0337293	0.0165807	0.00838724	0.0042539	0.00218581	0.00116786	0.000665639	0.000411673	0.000278285	0.000205205	0.000163575	0.000139134	0.000124463	0.000115537	0.000110111	0.000106797	0.000104758	0.000103536	0.000102802	0.000102367	0.000102114	0.000101966
ind	6.3058e-07	6.62835e-07	7.16921e-07	8.14602e-07	1.01287e-06	1.47225e-06	2.6104e-06	5.33394e-06	1.73156e-05	0.000176513	0.00143104	0.00387133	0.00738958	0.0156418	0.0301794	0.0520436	0.0900888	0.174084	0.365558	0.663401	0.873978	0.942751	0.94536	0.850403	0.602748	0.376044	0.170059	0.072757	0.0372097	0.0207397	0.0114348	0.0061111	0.00324005	0.00176331	0.00101468	0.000629491	0.000424945	0.000312121	0.000247606	0.000209649	0.00018684	0.000172959	0.000164521	0.000159371	0.000156203	0.000154307	0.000153169	0.000152497	0.000152105	0.000151877
