V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	1.07333e-08	1.15559e-08	1.29157e-08	1.52334e-08	1.93076e-08	2.65866e-08	3.99473e-08	7.46622e-08	2.97207e-07	2.76362e-06	1.62144e-05	4.25018e-05	9.12985e-05	0.000228446	0.000525993	0.0010458	0.00196817	0.00412745	0.0108779	0.0359412	0.124636	0.306781	0.370886	0.1692	0.0444616	0.0186342	0.00955607	0.00496029	0.00290585	0.00195182	0.00143072	0.00110371	0.000885469	0.000738003	0.000638818	0.000572501	0.000528435	0.000499316	0.00048014	0.000467632	0.00045953	0.000454323	0.00045103	0.000448957	0.000447653	0.000446855	0.000446366	0.000446071	0.000445895	0.00044579
ind	2.0566e-08	2.20552e-08	2.45145e-08	2.86977e-08	3.60257e-08	4.89901e-08	7.19139e-08	1.26436e-07	4.48251e-07	3.83696e-06	2.29753e-05	6.62973e-05	0.000159014	0.000423166	0.0009786	0.00190201	0.00351451	0.00728809	0.0188424	0.0594394	0.187294	0.404811	0.465613	0.23241	0.0693766	0.0309988	0.0157331	0.00785421	0.00440807	0.0028511	0.00203641	0.00155394	0.00124912	0.00105131	0.000921647	0.000836283	0.000780068	0.000743123	0.000718894	0.000703129	0.000692938	0.000686401	0.000682269	0.00067967	0.000678037	0.000677037	0.000676424	0.000676054	0.000675832	0.0006757
ind	4.12574e-08	4.44721e-08	4.98668e-08	5.92725e-08	7.65311e-08	1.09643e-07	1.74695e-07	3.32691e-07	1.23479e-06	1.13696e-05	6.62298e-05	0.0001298	0.000170599	0.000274809	0.000490193	0.000897833	0.00171309	0.00379184	0.0107141	0.0379428	0.137225	0.329575	0.367521	0.14887	0.0393778	0.0167964	0.00791511	0.00378976	0.00211533	0.00135757	0.000936537	0.000669832	0.000494991	0.000381134	0.000307798	0.000260744	0.000230549	0.000211137	0.000198632	0.000190603	0.000185466	0.000182196	0.000180145	0.000178863	0.000178062	0.000177575	0.000177279	0.000177102	0.000176997	0.000176935
ind	1.21208e-08	1.30709e-08	1.46442e-08	1.73298e-08	2.20922e-08	3.08219e-08	4.75505e-08	9.10394e-08	3.5908e-07	3.53795e-06	2.49611e-05	7.03202e-05	0.000137196	0.000291427	0.000563416	0.000982509	0.00175843	0.00376287	0.010555	0.0375852	0.136477	0.325852	0.361739	0.150083	0.03988	0.0168722	0.00841623	0.00431422	0.00252579	0.001686	0.00121228	0.000905865	0.000698543	0.000558751	0.000465788	0.000404531	0.000364395	0.000338186	0.000321093	0.000310024	0.000302895	0.000298334	0.00029546	0.000293657	0.000292526	0.000291837	0.000291416	0.000291164	0.000291014	0.000290924
ind	4.54724e-09	4.8419e-09	5.34188e-09	6.24606e-09	8.04838e-09	1.20589e-08	2.15177e-08	4.47801e-08	1.64362e-07	1.84074e-06	1.48449e-05	4.00439e-05	7.81985e-05	0.000182213	0.00041766	0.000872176	0.00177324	0.00406866	0.0118037	0.0428806	0.158493	0.379722	0.416081	0.157738	0.0430355	0.018771	0.00779239	0.00359633	0.00216533	0.00152874	0.00113013	0.000839782	0.000630265	0.000486189	0.000390732	0.000328644	0.00028856	0.000262732	0.000246087	0.000235406	0.000228577	0.000224236	0.000221517	0.000219822	0.000218764	0.000218123	0.000217735	0.000217504	0.000217368	0.000217288
ind	9.16827e-09	9.61586e-09	1.03503e-08	1.16594e-08	1.41967e-08	1.94e-08	2.95365e-08	4.90411e-08	1.47276e-07	1.26112e-06	7.17365e-06	2.15509e-05	6.55314e-05	0.000226037	0.000629067	0.00135862	0.00257983	0.00518217	0.0126799	0.0385389	0.126182	0.315942	0.409935	0.197877	0.0614818	0.0315583	0.015785	0.00833241	0.00568985	0.00466045	0.00411516	0.00372849	0.00342285	0.0031827	0.00300078	0.00286767	0.00277313	0.00270755	0.00266275	0.00263277	0.00261299	0.0026001	0.00259186	0.00258664	0.00258334	0.0025813	0.00258006	0.0025793	0.00257885	0.00257858
ind	1.40094e-08	1.51266e-08	1.70022e-08	2.02721e-08	2.62705e-08	3.78105e-08	6.09251e-08	1.2104e-07	5.00656e-07	5.36992e-06	3.85275e-05	0.00010599	0.000201348	0.000397001	0.000692223	0.0011149	0.00191921	0.00404307	0.0112397	0.0397773	0.144532	0.348401	0.396511	0.166979	0.0427702	0.0175822	0.00821651	0.00390347	0.00215153	0.00136361	0.000931027	0.000660378	0.00048469	0.000371113	0.000298352	0.000251855	0.000222105	0.000203022	0.000190747	0.000182875	0.000177842	0.00017464	0.000172632	0.000171378	0.000170593	0.000170117	0.000169827	0.000169654	0.000169551	0.000169491
ind	1.24818e-08	1.34871e-08	1.51861e-08	1.81844e-08	2.38323e-08	3.52798e-08	5.99948e-08	1.25271e-07	5.12398e-07	5.68462e-06	4.60001e-05	0.000121492	0.000192763	0.00033115	0.000552146	0.0008998	0.00160399	0.00354604	0.0104662	0.0394876	0.149707	0.353899	0.371816	0.139896	0.0367066	0.01548	0.00707923	0.00339437	0.00193522	0.00125866	0.000860118	0.000593899	0.000415268	0.000299501	0.000226551	0.000181061	0.000152677	0.000134863	0.000123604	0.000116479	0.000111967	0.000109117	0.00010734	0.000106234	0.000105545	0.000105128	0.000104876	0.000104725	0.000104636	0.000104584
ind	1.14765e-08	1.24373e-08	1.40672e-08	1.69492e-08	2.23525e-08	3.31069e-08	5.56725e-08	1.16369e-07	5.05027e-07	5.60121e-06	3.87571e-05	9.14689e-05	0.000145564	0.000270198	0.000506424	0.0009095	0.00169993	0.00378953	0.0110296	0.0407053	0.152468	0.367564	0.412615	0.169747	0.0416553	0.0164191	0.00736546	0.00339871	0.00183553	0.00113828	0.000754632	0.000515198	0.000361808	0.00026474	0.000204068	0.000166211	0.000142486	0.000127517	0.000118011	0.000111971	0.000108136	0.000105708	0.000104191	0.000103246	0.000102657	0.0001023	0.000102083	0.000101954	0.000101877	0.000101832
ind	1.29554e-08	1.36215e-08	1.47391e-08	1.67575e-08	2.08532e-08	3.03431e-08	5.3872e-08	1.10263e-07	3.58695e-07	3.66643e-06	2.98567e-05	8.12864e-05	0.000156471	0.000336025	0.000663091	0.00118115	0.00215609	0.00466077	0.0129833	0.0453378	0.161376	0.379033	0.409608	0.153286	0.0460901	0.0206277	0.00808923	0.00366908	0.00220558	0.00152114	0.00107585	0.0007582	0.000539708	0.000396742	0.000305988	0.000248954	0.000213091	0.000190436	0.000176054	0.000166923	0.00016113	0.000157471	0.000155189	0.000153772	0.00015289	0.000152357	0.000152035	0.000151844	0.000151732	0.000151667
