V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	0.113896	0.113299	0.112289	0.110845	0.108937	0.106525	0.103563	0.0999989	0.0957777	0.0908441	0.0851553	0.0786877	0.071456	0.0689756	0.0741742	0.0887387	0.124451	0.209114	0.396098	0.67487	0.87262	0.94082	0.948738	0.890918	0.666094	0.430477	0.254479	0.131595	0.0685874	0.0382972	0.0223835	0.013406	0.00822893	0.005225	0.0034577	0.00238835	0.00171768	0.00128232	0.000993121	0.000799773	0.000671253	0.000587002	0.000533067	0.000498999	0.00047758	0.000464576	0.000456713	0.000452041	0.00044931	0.000447716
ind	0.0949249	0.0945075	0.0938012	0.0927892	0.0914489	0.08975	0.0876559	0.0851245	0.0821088	0.0785584	0.0744274	0.0696778	0.0642922	0.0632192	0.0693631	0.0847212	0.121049	0.206002	0.392111	0.670793	0.874397	0.947848	0.955979	0.88934	0.660143	0.436141	0.258627	0.131764	0.0675589	0.0373767	0.021925	0.0133739	0.00845478	0.00555845	0.00381073	0.00272319	0.00202456	0.00156387	0.00125578	0.00104975	0.000913243	0.00082412	0.00076727	0.000731458	0.000708982	0.000695351	0.000687114	0.000682221	0.000679359	0.000677688
ind	0.0662792	0.0660568	0.0656797	0.0651379	0.0644172	0.0634986	0.0623585	0.0609682	0.0592942	0.0572976	0.0549373	0.052171	0.0489613	0.0492817	0.0558245	0.0710299	0.10699	0.194045	0.393048	0.687499	0.880884	0.940949	0.945083	0.881368	0.662318	0.441776	0.255774	0.128642	0.0669273	0.0373055	0.0212702	0.0120753	0.00686035	0.00397407	0.00238946	0.00150647	0.00099876	0.000695042	0.000506463	0.000386372	0.000308987	0.000259168	0.000227594	0.000207759	0.000195326	0.000187793	0.000183243	0.000180542	0.000178965	0.000178045
ind	0.072289	0.0719906	0.0714853	0.0707607	0.0697995	0.0685788	0.0670705	0.0652418	0.0630554	0.0604698	0.0574455	0.0539462	0.0499486	0.0496158	0.0555799	0.0700938	0.105152	0.190959	0.389906	0.687422	0.882729	0.942941	0.946759	0.882877	0.659963	0.432848	0.256309	0.134575	0.0720785	0.0410504	0.0240155	0.0140907	0.00832182	0.00502829	0.00315605	0.00207332	0.00142641	0.00102451	0.000766213	0.000597002	0.000485637	0.00041289	0.000366343	0.000336925	0.000318415	0.000307172	0.000300372	0.000296332	0.000293969	0.000292591
ind	0.0583116	0.0581467	0.0578668	0.0574641	0.0569276	0.0562421	0.0553886	0.054344	0.0530802	0.0515641	0.0497591	0.0476254	0.0451232	0.045924	0.0526702	0.0679441	0.103852	0.191693	0.394073	0.692146	0.882754	0.939605	0.942951	0.876315	0.665536	0.454796	0.244803	0.120043	0.0678468	0.0422287	0.0262913	0.0157898	0.00923828	0.00540434	0.00323936	0.00202094	0.00132169	0.000907083	0.000652669	0.000492464	0.000390141	0.000324671	0.000283341	0.00025744	0.000241228	0.000231414	0.000225492	0.000221978	0.000219926	0.000218731
ind	0.257079	0.254883	0.251188	0.245937	0.239061	0.230478	0.220107	0.207883	0.193781	0.177833	0.160187	0.141125	0.12111	0.109081	0.108112	0.11804	0.149758	0.227812	0.396861	0.656469	0.8652	0.949844	0.962796	0.891392	0.655101	0.445342	0.246852	0.122334	0.0704423	0.0467174	0.0329639	0.0238334	0.0175352	0.0131482	0.010056	0.0078396	0.00623337	0.00507095	0.00424196	0.0036649	0.00327349	0.00301458	0.00284823	0.00274302	0.00267685	0.00263667	0.00261238	0.00259795	0.00258952	0.00258459
ind	0.0618518	0.0616542	0.061319	0.0608372	0.0601959	0.0593781	0.0583621	0.0571219	0.0556265	0.0538398	0.0517234	0.0492368	0.0463426	0.0468138	0.0532594	0.0681183	0.103253	0.188848	0.386541	0.68227	0.877064	0.937295	0.94237	0.884219	0.668015	0.441278	0.25503	0.128032	0.0662125	0.0366926	0.0208414	0.0118032	0.00669115	0.00386563	0.00231634	0.0014547	0.000960729	0.000666403	0.000484491	0.000369168	0.000295144	0.000247633	0.000217586	0.000198738	0.000186934	0.000179785	0.00017547	0.000172909	0.000171412	0.00017054
ind	0.0454637	0.045355	0.0451706	0.0449049	0.0445502	0.0440961	0.0435293	0.0428331	0.0419873	0.0409675	0.0397456	0.03829	0.0365668	0.0376928	0.0440903	0.0584482	0.0927739	0.179033	0.386267	0.696929	0.889308	0.943642	0.945238	0.878198	0.659855	0.441792	0.254971	0.131721	0.0722657	0.042369	0.0248567	0.0140894	0.00776056	0.00425994	0.00239402	0.00140407	0.000867988	0.000566796	0.000390234	0.000282825	0.000215762	0.000173409	0.000146849	0.000130257	0.000119886	0.000113612	0.000109826	0.000107581	0.000106269	0.000105505
ind	0.0524722	0.0523335	0.0520979	0.0517588	0.0513066	0.0507283	0.0500076	0.0491241	0.0480533	0.046766	0.0452292	0.0434065	0.0412604	0.0422288	0.0488719	0.063847	0.0993107	0.186925	0.391728	0.693263	0.88188	0.936895	0.941071	0.886315	0.673771	0.441908	0.250696	0.124076	0.0638556	0.0352335	0.0197751	0.0109439	0.0059985	0.00332573	0.00190623	0.00114594	0.000726982	0.000486555	0.000342575	0.000253352	0.000196865	0.000160859	0.000138151	0.000123919	0.000115006	0.000109608	0.000106349	0.000104415	0.000103285	0.000102626
ind	0.0520333	0.0519211	0.0517305	0.0514558	0.0510889	0.0506186	0.0500309	0.0493079	0.048428	0.0473645	0.0460866	0.0445589	0.0427426	0.0440357	0.0510356	0.0664019	0.101934	0.188058	0.386002	0.684102	0.884641	0.947643	0.950953	0.873871	0.665921	0.459863	0.239149	0.116475	0.0667924	0.0415095	0.0253313	0.0147765	0.0083761	0.00474901	0.00276356	0.00167848	0.00107244	0.000721534	0.000510066	0.000378281	0.000294375	0.000240597	0.000206518	0.000185078	0.000171616	0.000163449	0.000158513	0.000155583	0.00015387	0.000152873
