V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	0.0958974	0.106457	0.126045	0.164689	0.245029	0.407512	0.659834	0.881755	0.968516	0.978467	0.978876	0.978901	0.978904	0.978904	0.978904	0.978904	0.978904	0.978904	0.978904	0.978904	0.978904	0.978904	0.978903	0.978891	0.978519	0.973575	0.932434	0.72033	0.344643	0.126894	0.0493783	0.0219661	0.0110914	0.00623714	0.00383606	0.00253736	0.00177907	0.0013086	0.00100485	0.000805219	0.000673887	0.000588332	0.000533763	0.000499376	0.000477787	0.000464692	0.000456779	0.000452079	0.000449331	0.000447728
ind	0.0338342	0.0376201	0.0447621	0.0593538	0.0922299	0.172908	0.363347	0.690572	0.945272	0.9901	0.99228	0.992416	0.992431	0.992434	0.992434	0.992434	0.992434	0.992434	0.992434	0.992434	0.992434	0.992433	0.992431	0.992371	0.991007	0.977171	0.887938	0.577356	0.23862	0.0901083	0.0384563	0.0188583	0.0103801	0.00627195	0.0040891	0.0028371	0.0020732	0.00158544	0.00126577	0.00105457	0.00091566	0.000825379	0.000767946	0.00073183	0.00070919	0.000695469	0.000687181	0.000682259	0.000679381	0.000677701
ind	0.296342	0.321346	0.364997	0.441572	0.568656	0.739188	0.883826	0.952278	0.971173	0.973272	0.973356	0.973361	0.973362	0.973362	0.973362	0.973362	0.973362	0.973362	0.973362	0.973362	0.973362	0.973362	0.973362	0.97335	0.973035	0.968996	0.932563	0.729973	0.354222	0.129581	0.0485981	0.0202551	0.00938393	0.00478635	0.00266495	0.00160541	0.00103631	0.00071002	0.000512753	0.000389138	0.000310261	0.000259785	0.000227906	0.000207924	0.000195416	0.000187842	0.000183271	0.000180558	0.000178974	0.00017805
ind	0.563253	0.591815	0.637227	0.705649	0.795715	0.885975	0.945165	0.96948	0.975619	0.976242	0.976267	0.976268	0.976268	0.976268	0.976268	0.976268	0.976268	0.976268	0.976268	0.976268	0.976268	0.976268	0.976268	0.97626	0.976038	0.97296	0.944678	0.77749	0.411816	0.156509	0.0591309	0.0248854	0.0117645	0.00617981	0.00356279	0.00222531	0.00148623	0.00104912	0.00077682	0.000601765	0.00048787	0.000413986	0.000366903	0.000337223	0.000318577	0.000307262	0.000300423	0.000296361	0.000293986	0.000292601
ind	0.0359065	0.0397433	0.0471554	0.0629343	0.101294	0.20721	0.469463	0.795776	0.946089	0.966755	0.967473	0.967503	0.967506	0.967507	0.967507	0.967507	0.967507	0.967507	0.967507	0.967507	0.967507	0.967507	0.967507	0.967494	0.96715	0.962978	0.921131	0.69855	0.344662	0.139931	0.058171	0.0259727	0.0124911	0.0064649	0.00359855	0.00214871	0.00136955	0.000925916	0.00066048	0.000495862	0.000391692	0.000325416	0.000283715	0.000257637	0.000241334	0.000231473	0.000225525	0.000221997	0.000219937	0.000218737
ind	0.0065935	0.00718244	0.00830372	0.0106773	0.0164342	0.0329873	0.0869665	0.259858	0.721949	0.982403	0.998731	0.999758	0.999858	0.999866	0.999867	0.999867	0.999867	0.999867	0.999867	0.999867	0.999867	0.999866	0.999863	0.999797	0.998286	0.984147	0.883556	0.55092	0.242835	0.109527	0.0567509	0.0332413	0.0213958	0.014785	0.0107699	0.00815881	0.00637931	0.00513918	0.00427491	0.00368133	0.00328196	0.00301907	0.00285068	0.00274439	0.00267761	0.00263711	0.00261263	0.0025981	0.0025896	0.00258464
ind	0.654168	0.679356	0.718374	0.774763	0.844672	0.909674	0.949074	0.964251	0.968009	0.968388	0.968402	0.968403	0.968403	0.968403	0.968403	0.968403	0.968403	0.968403	0.968403	0.968403	0.968403	0.968403	0.968403	0.968393	0.968094	0.964132	0.928252	0.727578	0.352263	0.12803	0.0477614	0.0198358	0.00916293	0.00465893	0.00258444	0.0015506	0.000996989	0.000680817	0.000490531	0.00037182	0.000296366	0.000248225	0.000217885	0.000198896	0.00018702	0.000179833	0.000175496	0.000172924	0.000171421	0.000170545
ind	0.764941	0.784363	0.813527	0.853705	0.900355	0.940395	0.962507	0.970079	0.971763	0.971929	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971935	0.971929	0.971748	0.969274	0.944587	0.789305	0.434147	0.170317	0.0639351	0.0256648	0.0111932	0.00530049	0.00272256	0.00151356	0.000906684	0.000581265	0.000395973	0.000285221	0.000216815	0.000173897	0.000147088	0.000130379	0.000119951	0.000113647	0.000109846	0.000107592	0.000106276	0.000105509
ind	0.34554	0.373742	0.422153	0.504308	0.632472	0.787767	0.903369	0.951334	0.962825	0.9639	0.963937	0.963939	0.963939	0.963939	0.963939	0.963939	0.963939	0.963939	0.963939	0.963939	0.963939	0.963939	0.963939	0.963931	0.963693	0.960333	0.928068	0.737256	0.361085	0.129805	0.0471497	0.0188814	0.00835099	0.00404851	0.00213954	0.00122576	0.000755954	0.000497664	0.000347082	0.000255273	0.000197725	0.000161264	0.000138352	0.000124023	0.000115062	0.000109639	0.000106366	0.000104424	0.00010329	0.000102629
ind	0.122983	0.133186	0.152322	0.190853	0.274552	0.455271	0.729571	0.912826	0.971156	0.979704	0.980051	0.980067	0.980069	0.98007	0.98007	0.98007	0.98007	0.98007	0.98007	0.98007	0.98007	0.98007	0.980068	0.980028	0.979175	0.970447	0.892929	0.591249	0.265721	0.109841	0.0475407	0.0217965	0.0105782	0.00545088	0.00299554	0.00175906	0.00110199	0.000732942	0.000514717	0.00038027	0.000295267	0.000241018	0.000206726	0.000185186	0.000171674	0.00016348	0.000158531	0.000155593	0.000153876	0.000152876
ind	0.361662	0.388048	0.433944	0.513511	0.641405	0.798456	0.907041	0.943374	0.950471	0.951114	0.951132	0.951133	0.951133	0.951133	0.951133	0.951133	0.951133	0.951133	0.951133	0.951133	0.951133	0.951133	0.951133	0.951127	0.950946	0.948385	0.919715	0.74702	0.411981	0.177133	0.0732689	0.0311124	0.0137519	0.00639037	0.00316364	0.00169101	0.000985104	0.000626146	0.000430446	0.000314669	0.000239741	0.000187283	0.000149206	0.000121511	0.000101767	8.85713e-05	8.0046e-05	7.47607e-05	7.1589e-05	6.97107e-05
ind	0.174303	0.190831	0.220349	0.274885	0.376022	0.546816	0.76165	0.925503	0.987111	0.99478	0.995164	0.995191	0.995194	0.995195	0.995195	0.995195	0.995195	0.995195	0.995195	0.995195	0.995195	0.995195	0.995194	0.995169	0.994528	0.986723	0.930102	0.685154	0.312516	0.113404	0.044117	0.0197312	0.0100521	0.00571353	0.00355266	0.002374	0.00168007	0.00124673	0.000965922	0.000781152	0.000659654	0.000580591	0.000530219	0.000498505	0.000478606	0.00046654	0.00045925	0.00045492	0.000452388	0.00045091
ind	0.598328	0.623107	0.663312	0.725566	0.809753	0.893042	0.940809	0.955325	0.958136	0.95839	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958397	0.958394	0.958278	0.956514	0.934813	0.7882	0.462821	0.20784	0.0888768	0.0394588	0.0186038	0.00939689	0.00511119	0.00299587	0.00188449	0.00126181	0.000891243	0.000659817	0.000510936	0.000414252	0.000352231	0.000312838	0.000287933	0.000272753	0.000263552	0.00025808	0.000254879	0.000253012
ind	0.10047	0.110242	0.12857	0.165423	0.245015	0.415364	0.681873	0.886864	0.963931	0.975492	0.976017	0.976047	0.976051	0.976052	0.976052	0.976052	0.976052	0.976052	0.976052	0.976052	0.976052	0.976052	0.976051	0.976022	0.975357	0.968241	0.906336	0.626596	0.269222	0.0997588	0.0394853	0.0171757	0.00815769	0.00420703	0.00234742	0.00141016	0.000905661	0.000616835	0.000442669	0.000333741	0.000264289	0.000219835	0.000191745	0.000174126	0.000163092	0.000156409	0.000152375	0.000149981	0.000148583	0.000147768
ind	0.54323	0.568526	0.610166	0.676456	0.770821	0.873066	0.941068	0.966949	0.973686	0.974524	0.974558	0.974559	0.97456	0.97456	0.97456	0.97456	0.97456	0.97456	0.97456	0.97456	0.97456	0.97456	0.974559	0.97454	0.974037	0.968226	0.914224	0.651055	0.289881	0.110037	0.0443269	0.0195652	0.0094148	0.00491571	0.00277614	0.00168749	0.00109591	0.000753771	0.000545152	0.00041316	0.000328079	0.000273117	0.000238139	0.000216089	0.000202232	0.000193821	0.000188737	0.000185718	0.000183954	0.000182925
ind	0.0337814	0.0377952	0.0454315	0.0612491	0.0976677	0.189544	0.407377	0.74406	0.949551	0.977933	0.979051	0.979105	0.979109	0.97911	0.97911	0.97911	0.97911	0.97911	0.97911	0.97911	0.97911	0.97911	0.979109	0.979097	0.978732	0.97404	0.93411	0.723894	0.347654	0.127902	0.0493639	0.0216569	0.0107617	0.00596471	0.00363037	0.00238732	0.00166888	0.00122303	0.000931525	0.000735684	0.000603559	0.000515467	0.000458235	0.000421688	0.000398535	0.000384409	0.000375844	0.000370747	0.000367764	0.000366023
ind	0.324191	0.347468	0.387551	0.456834	0.57072	0.726956	0.872813	0.956585	0.987159	0.991851	0.992112	0.99213	0.992133	0.992134	0.992134	0.992134	0.992134	0.992134	0.992134	0.992134	0.992134	0.992133	0.992131	0.992073	0.990845	0.978727	0.894415	0.57676	0.224404	0.0772393	0.0296956	0.0130852	0.00651224	0.00360676	0.00219385	0.00144406	0.00101187	0.000743004	0.000565323	0.000443767	0.000359975	0.000302955	0.000265289	0.00024094	0.000225384	0.000215842	0.000210037	0.000206576	0.000204549	0.000203365
ind	0.371846	0.40071	0.449607	0.530951	0.654441	0.800521	0.909568	0.956484	0.968024	0.969117	0.969156	0.969158	0.969158	0.969158	0.969158	0.969158	0.969158	0.969158	0.969158	0.969158	0.969158	0.969158	0.969158	0.969151	0.968929	0.965781	0.936227	0.760509	0.388442	0.142094	0.0518416	0.0209755	0.0094685	0.00472396	0.00258135	0.00153071	0.00097528	0.000661083	0.000473167	0.000356325	0.000282145	0.000234814	0.000204968	0.000186276	0.00017458	0.000167499	0.000163226	0.00016069	0.000159209	0.000158345
ind	0.235391	0.257344	0.296659	0.36869	0.497293	0.68849	0.865629	0.950532	0.973006	0.97542	0.975507	0.97551	0.975511	0.975511	0.975511	0.975511	0.975511	0.975511	0.975511	0.975511	0.975511	0.975511	0.97551	0.975498	0.975152	0.970901	0.932189	0.721103	0.34598	0.126244	0.0466635	0.0187765	0.00824083	0.00392873	0.00203101	0.00113603	0.000684451	0.00044108	0.00030178	0.000218065	0.000166083	0.000133315	0.000112768	9.99269e-05	9.18968e-05	8.70367e-05	8.41035e-05	8.23635e-05	8.13471e-05	8.07547e-05
ind	0.53616	0.565855	0.6136	0.686455	0.783322	0.879584	0.939568	0.961817	0.966876	0.967349	0.967365	0.967366	0.967366	0.967366	0.967366	0.967366	0.967366	0.967366	0.967366	0.967366	0.967366	0.967366	0.967366	0.96736	0.967181	0.964612	0.939083	0.77856	0.416416	0.158549	0.058908	0.0238595	0.0106532	0.00521669	0.00278678	0.00161419	0.00100599	0.00066854	0.000470076	0.000348154	0.000271283	0.000222382	0.00019157	0.00017227	0.000160187	0.000152871	0.000148454	0.000145833	0.000144301	0.000143409
ind	0.297277	0.32261	0.367132	0.446032	0.578075	0.752966	0.891329	0.948302	0.961816	0.963116	0.963159	0.963161	0.963161	0.963161	0.963161	0.963161	0.963161	0.963161	0.963161	0.963161	0.963161	0.963161	0.963161	0.963155	0.962952	0.960106	0.931325	0.756835	0.401931	0.162438	0.0659428	0.0291894	0.0141775	0.00753467	0.0043757	0.00276982	0.00189829	0.00139093	0.00107085	0.000850004	0.000684741	0.000555367	0.000455096	0.000380134	0.000326393	0.000290592	0.000267586	0.000253388	0.000244896	0.000239876
ind	0.768362	0.787233	0.815518	0.854372	0.899303	0.937694	0.95883	0.966092	0.967722	0.967882	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.967888	0.96788	0.967649	0.964528	0.934168	0.752937	0.384621	0.14397	0.0532456	0.0213077	0.00930423	0.00442759	0.00229706	0.00129802	0.00079496	0.000522536	0.000364145	0.000266189	0.000202944	0.000161353	0.000134252	0.000116792	0.00010563	9.87733e-05	9.45954e-05	9.21023e-05	9.0641e-05	8.97877e-05
