V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51
ind	2.74841e-10	2.9569e-10	3.30078e-10	3.88618e-10	4.91386e-10	6.74591e-10	1.00976e-09	1.8785e-09	7.4354e-09	6.86655e-08	3.99542e-07	1.03692e-06	2.20107e-06	5.43015e-06	1.2296e-05	2.39732e-05	4.41015e-05	9.01469e-05	0.000231573	0.000755999	0.00276406	0.00817119	0.0102628	0.00329835	0.000691738	0.000254818	0.000114468	5.1036e-05	2.50724e-05	1.37603e-05	8.03862e-06	4.83954e-06	2.9854e-06	1.89857e-06	1.25332e-06	8.61762e-07	6.18007e-07	4.62781e-07	3.6252e-07	2.9755e-07	2.55594e-07	2.28727e-07	2.11822e-07	2.01268e-07	1.94684e-07	1.90706e-07	1.88307e-07	1.86884e-07	1.86052e-07	1.85567e-07
ind	3.28709e-10	3.52426e-10	3.91566e-10	4.58115e-10	5.74645e-10	7.80651e-10	1.14449e-09	2.00902e-09	7.10873e-09	6.07053e-08	3.62444e-07	1.04218e-06	2.48896e-06	6.5897e-06	1.51468e-05	2.92261e-05	5.35452e-05	0.000110062	0.000283391	0.00091409	0.00324812	0.00926408	0.0113929	0.00377372	0.000871207	0.000344026	0.000154793	6.73339e-05	3.21889e-05	1.72842e-05	9.99987e-06	6.058e-06	3.81532e-06	2.50199e-06	1.71176e-06	1.22118e-06	9.07008e-07	7.00755e-07	5.63568e-07	4.72347e-07	4.12209e-07	3.73104e-07	3.48233e-07	3.32596e-07	3.22795e-07	3.16856e-07	3.13268e-07	3.11138e-07	3.09892e-07	3.09164e-07
ind	1.00989e-09	1.08834e-09	1.21992e-09	1.44924e-09	1.86988e-09	2.67644e-09	4.25947e-09	8.10017e-09	3.00112e-08	2.75739e-07	1.60202e-06	3.12963e-06	4.09693e-06	6.56756e-06	1.16461e-05	2.118e-05	4.00728e-05	8.78772e-05	0.000246555	0.000882514	0.00348543	0.0105091	0.0120259	0.00346313	0.000768987	0.000299489	0.000128314	5.48445e-05	2.66434e-05	1.44314e-05	8.12749e-06	4.59375e-06	2.60847e-06	1.51208e-06	9.09363e-07	5.7282e-07	3.79161e-07	2.63553e-07	1.92174e-07	1.47102e-07	1.18332e-07	9.9975e-08	8.84235e-08	8.12047e-08	7.6696e-08	7.39701e-08	7.23263e-08	7.13515e-08	7.07821e-08	7.04502e-08
ind	2.29328e-10	2.47192e-10	2.76731e-10	3.27117e-10	4.16392e-10	5.79822e-10	8.92378e-10	1.70348e-09	6.69461e-09	6.56699e-08	4.6084e-07	1.28988e-06	2.49693e-06	5.25419e-06	1.0044e-05	1.72805e-05	3.04392e-05	6.39782e-05	0.000176453	0.000628128	0.00246092	0.00725588	0.00812597	0.00238427	0.000523137	0.000198834	8.87784e-05	3.99855e-05	2.00709e-05	1.11645e-05	6.49488e-06	3.82032e-06	2.26788e-06	1.37585e-06	8.64286e-07	5.66435e-07	3.88324e-07	2.7855e-07	2.0919e-07	1.64784e-07	1.36252e-07	1.18006e-07	1.06523e-07	9.93507e-08	9.48734e-08	9.21675e-08	9.05358e-08	8.95682e-08	8.90028e-08	8.86731e-08
ind	1.05496e-10	1.12323e-10	1.23904e-10	1.44848e-10	1.86594e-10	2.79481e-10	4.98494e-10	1.03688e-09	3.80339e-09	4.2561e-08	3.42887e-07	9.23723e-07	1.80087e-06	4.18755e-06	9.57418e-06	1.99317e-05	4.03764e-05	9.23155e-05	0.000267889	0.000995206	0.00413612	0.0132788	0.0151292	0.00383322	0.000882172	0.000355327	0.000135736	5.67676e-05	3.02211e-05	1.8286e-05	1.1189e-05	6.6435e-06	3.85917e-06	2.248e-06	1.34422e-06	8.37533e-07	5.47376e-07	3.75534e-07	2.70131e-07	2.03756e-07	1.61348e-07	1.34203e-07	1.1706e-07	1.06314e-07	9.95862e-08	9.55129e-08	9.30545e-08	9.15961e-08	9.07443e-08	9.02479e-08
ind	1.94378e-10	2.03405e-10	2.18102e-10	2.4434e-10	2.95356e-10	3.99905e-10	6.01978e-10	9.85869e-10	2.91257e-09	2.44625e-08	1.36035e-07	3.98068e-07	1.17433e-06	3.9131e-06	1.04736e-05	2.16527e-05	3.91658e-05	7.46173e-05	0.000172923	0.000503675	0.00167821	0.00490688	0.00667957	0.00213083	0.000499058	0.000214958	8.99742e-05	3.93893e-05	2.20562e-05	1.46377e-05	1.03714e-05	7.49443e-06	5.47691e-06	4.06545e-06	3.08614e-06	2.41104e-06	1.94925e-06	1.63649e-06	1.42722e-06	1.2892e-06	1.19938e-06	1.14169e-06	1.10536e-06	1.08267e-06	1.06851e-06	1.05995e-06	1.05479e-06	1.05173e-06	1.04994e-06	1.04889e-06
ind	2.83794e-10	3.06382e-10	3.44284e-10	4.10352e-10	5.31521e-10	7.64552e-10	1.23105e-09	2.44358e-09	1.00963e-08	1.0814e-07	7.74522e-07	2.12605e-06	4.02772e-06	7.91437e-06	1.37415e-05	2.20168e-05	3.76629e-05	7.88094e-05	0.000218253	0.000784551	0.00314886	0.00979331	0.0117158	0.00342159	0.000725159	0.000272756	0.000116425	4.96232e-05	2.39252e-05	1.28586e-05	7.19683e-06	4.04704e-06	2.28727e-06	1.31985e-06	7.9033e-07	4.95928e-07	3.272e-07	2.26794e-07	1.64909e-07	1.25835e-07	1.00868e-07	8.49112e-08	7.48545e-08	6.85619e-08	6.46281e-08	6.22483e-08	6.08127e-08	5.99611e-08	5.94636e-08	5.91736e-08
ind	2.45179e-10	2.64908e-10	2.98244e-10	3.57066e-10	4.67862e-10	6.92389e-10	1.177e-09	2.45648e-09	1.00421e-08	1.1133e-07	9.00111e-07	2.3748e-06	3.76289e-06	6.45365e-06	1.07386e-05	1.74559e-05	3.10245e-05	6.83971e-05	0.000202049	0.000779266	0.00330648	0.0101811	0.0108049	0.00288327	0.000652328	0.000257244	0.000109805	4.84109e-05	2.48049e-05	1.40746e-05	8.1037e-06	4.54111e-06	2.48446e-06	1.35863e-06	7.61973e-07	4.46411e-07	2.75817e-07	1.80059e-07	1.23949e-07	8.98197e-08	6.85085e-08	5.50474e-08	4.66043e-08	4.1329e-08	3.80313e-08	3.6036e-08	3.48321e-08	3.41179e-08	3.37008e-08	3.34577e-08
ind	2.18641e-10	2.3692e-10	2.67918e-10	3.22723e-10	4.25461e-10	6.29897e-10	1.0587e-09	2.21161e-09	9.59099e-09	1.0627e-07	7.34404e-07	1.7304e-06	2.74794e-06	5.08708e-06	9.503e-06	1.69975e-05	3.16164e-05	7.01287e-05	0.00020379	0.000767025	0.00321358	0.0102725	0.0121571	0.00339769	0.000691698	0.000251928	0.000104523	4.39187e-05	2.10965e-05	1.12919e-05	6.24317e-06	3.42948e-06	1.87377e-06	1.03778e-06	5.94648e-07	3.57347e-07	2.26555e-07	1.51524e-07	1.06658e-07	7.89315e-08	6.14391e-08	5.03291e-08	4.33442e-08	3.89765e-08	3.62459e-08	3.45939e-08	3.35971e-08	3.30059e-08	3.26605e-08	3.24592e-08
ind	7.27196e-10	7.6453e-10	8.27167e-10	9.40285e-10	1.16984e-09	1.70173e-09	3.02023e-09	6.17893e-09	2.00894e-08	2.05204e-07	1.66963e-06	4.54097e-06	8.72988e-06	1.87189e-05	3.68706e-05	6.55293e-05	0.000119311	0.000257367	0.000718518	0.00257108	0.0102615	0.0316748	0.035286	0.00914001	0.0023716	0.000990627	0.000361987	0.000151301	8.20485e-05	4.96144e-05	2.97601e-05	1.71666e-05	9.66461e-06	5.45799e-06	3.16918e-06	1.92257e-06	1.22765e-06	8.25712e-07	5.83603e-07	4.32733e-07	3.36656e-07	2.75057e-07	2.3601e-07	2.11438e-07	1.96006e-07	1.86642e-07	1.80983e-07	1.77623e-07	1.7566e-07	1.74515e-07
