V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17
3452.86	2439.83	2962.7	26.3638	315.408	4.01252	7.00961	0.0942777	0.0601157	0.00147694	0.00182765	1.45965	0.978904	12.0884	0.024405	0.013792	2
4081.44	9142.28	2964.41	20.4684	212.799	3.28824	6.84398	0.10946	0.0286969	0.00127974	0.00132574	1.06168	0.992434	12.1093	0.021896	0.012921	1
6385.19	4278.09	4057.51	29.3931	331.323	3.97145	7.09094	0.0891083	0.228602	0.00124137	0.00127355	1.12248	0.973362	12.2719	0.025603	0.015858	1
4961.54	6151.32	3336.26	12.7402	369.121	4.00231	7.57828	0.0807546	0.0731719	0.000932253	0.00184093	1.33814	0.976268	11.8558	0.026519	0.016252	1
7857.29	1834.94	7878.92	28.1748	319.389	3.83722	7.02021	0.102076	0.096093	0.00130277	0.00128841	0.992627	0.967507	13.4082	0.0264	0.017063	1
1344.14	4123.09	6316.1	36.3282	208.288	3.943	7.0495	0.151969	0.0027829	0.00125302	0.000971854	2.15818	0.999867	13.863	0.022312	0.012528	2
6830.48	921.056	3930.37	7.12281	332.559	3.8902	7.33365	0.0863003	0.0252167	0.00125813	0.00126326	1.05549	0.968403	12.2937	0.026713	0.01596	1
9947.81	7799.99	4900.52	8.39334	391.898	3.96201	7.49475	0.0761116	0.188172	0.00103497	0.00153337	0.996472	0.971935	12.2632	0.026826	0.018148	1
8562.86	761.8	4281.21	16.5905	350.812	3.92771	7.50679	0.0795642	0.165504	0.00114384	0.00116784	1.04438	0.963939	12.3516	0.026413	0.017033	1
9989.51	9995.43	9810.42	12.5522	243.616	3.66836	5.44102	0.12019	0.0642517	0.00159773	0.00193826	0.994572	0.98007	13.8029	0.02407	0.016151	2
9999.83	6890.24	9275.89	20.5599	376.307	3.8573	7.43912	0.0794952	0.315935	0.00101837	0.00137353	4.74969	0.951133	13.4413	0.031374	0.020332	1
3277.53	2396.36	2118.39	26.9369	272.003	3.94178	7.05306	0.094891	0.107335	0.00113231	0.00110684	1.43121	0.995195	11.4328	0.022324	0.013478	1
8358.39	6570.53	9999.99	13.6862	430.483	3.875	8.25401	0.0868121	0.195494	0.00132192	0.00147072	1.30595	0.958397	13.8312	0.029538	0.019202	1
6897.22	9466.17	6080.74	38.6566	263.01	3.96209	6.07996	0.110925	0.22441	0.000969285	0.00112536	1.11088	0.976052	12.9599	0.024931	0.016049	1
6764.39	4148.07	6789.82	15.9745	281.914	3.89392	6.29502	0.109046	0.241021	0.00106264	0.00132845	1.19881	0.97456	13.3431	0.025291	0.016301	1
3692.54	5180.12	3268.65	25.9707	318.118	3.9886	7.39405	0.0921205	0.0224414	0.00110565	0.00127001	1.9038	0.97911	12.0438	0.023957	0.014679	1
3612.13	8394.1	3238.83	19.9859	221.148	4.05426	5.80326	0.117579	0.151814	0.000859377	0.000904695	2.40061	0.992134	12.0896	0.02264	0.013268	2
6815.38	1574.95	3568.92	11.6653	363.677	3.96651	7.57614	0.077521	0.0374375	0.000971643	0.00145949	1.10308	0.969158	11.9658	0.026458	0.016705	1
9870.39	9934.71	4717.12	9.67681	324.385	3.93252	6.75595	0.0853136	0.00822837	0.00116161	0.00118479	1.03097	0.975511	12.3223	0.024571	0.016802	1
8036.16	3044.58	4363.11	12.0266	386.061	3.93174	7.85677	0.0758761	0.124931	0.000905102	0.0013973	1.07984	0.967366	12.2084	0.026636	0.017717	1
3604.32	4943.67	5610.22	23.7988	370.184	3.93202	7.50365	0.0830252	0.180502	0.000996201	0.00234472	10.1084	0.963161	12.7964	0.028264	0.017468	1
9115.51	6907.52	4893.22	7.03216	359.036	3.88721	7.19891	0.0784495	0.19136	0.00104158	0.0014511	1.58319	0.967888	12.3783	0.026691	0.017837	1
9790.1	3804.54	8009.74	5.61401	377.569	3.82472	7.53515	0.0748373	0.0711492	0.00101174	0.00137091	7.63934	0.953665	13.1825	0.030561	0.020016	1
5031.61	9470.14	3136.89	22.1232	255.475	3.95964	6.30554	0.103278	0.0336962	0.000842991	0.00114698	1.00463	0.979508	11.9904	0.023792	0.014074	1
7389.28	1011.71	9983.53	12.9821	483.481	3.73058	8.81245	0.0921284	0.00784671	0.00294497	0.00165356	1.0197	0.962742	14.3745	0.029208	0.017298	2
6631.88	9434.98	3857.16	14.9106	338.201	3.90971	7.22806	0.083634	0.0817924	0.00113088	0.00128658	1.5883	0.978722	11.9662	0.025238	0.016419	1
6482.58	4074.71	5141.67	10.2629	281.46	4.07673	6.4381	0.106431	0.00289218	0.000923591	0.000903929	1.05753	0.982576	12.6066	0.024041	0.015435	1
7700.87	3662.13	4089.14	8.03597	354.086	3.84848	7.61049	0.0809291	0.246615	0.0012556	0.00114837	1.12136	0.972907	12.2632	0.026095	0.016814	1
7260.32	3893.62	5585.43	29.0669	295.64	3.92383	6.70368	0.0974323	0.331646	0.00101669	0.000955551	1.90358	0.977332	12.5819	0.026562	0.017115	1
7388.67	3599.36	4602.34	7.59963	362.183	3.99129	7.29857	0.0831133	0.0802367	0.00109118	0.00145681	1.03644	0.965599	12.493	0.027148	0.016869	1
1423.97	7338.06	2978.75	36.9366	347.01	4.09146	8.0071	0.0860823	0.00751661	0.00137622	0.00254845	8.48189	0.98004	12.0916	0.024718	0.014927	2
