K_dl	K_zld	K_cic	K_sna	K_vnd	a_dl	a_zld	a_cic	a_sna	a_vnd	q_btm	w_dl.zld	Beta	Cic_att
0.0799344	0.126327	4.93394	251.039	1.20616	1.53861	9.53209	7.68499e-05	0.00438208	0.0036928	0.00437049	52.09	19.9576	6.16767
0.0209299	2.00376	8.96027	702.397	3.32466	2.17655	5.50351	0.00102072	0.342253	0.00285575	0.00933602	56.2402	1.58624	4.86386
0.0182939	0.269654	5.63513	267.999	0.965118	9.95926	3.44578	0.0356908	0.0244674	0.0012678	0.00999877	4.90423	24.8212	6.61037
1.92804	0.173613	3.39211	272.561	2.58715	5.05215	8.00672	0.047333	0.0206873	0.00228534	0.00118187	35.6424	15.2653	6.42294
4.18081	1.14538	4.70739	394.603	2.60455	4.811	5.33893	0.00108338	0.179186	2.24266e-05	0.00110747	6.73806	3.48567	6.30142
7.01189	0.753559	4.55598	447.676	1.40917	2.55368	4.4782	0.0133083	0.0362138	0.00239248	0.00108226	22.0081	6.99268	7.69646
7.71514	1.79413	5.05606	2467.66	0.313328	0.993449	2.61467	7.40105e-05	0.549859	0.000564165	0.00203725	1.40413	24.0162	7.08321
0.0229829	1.23741	5.12429	1824.38	0.505345	1.30874	3.60917	3.54654e-05	0.527407	0.000317742	0.0012886	31.5981	18.5233	6.88816
1.45956	0.470058	3.95634	318.833	1.96362	3.79386	3.64331	0.0110378	0.152945	0.010294	0.0019746	56.6349	15.8776	7.07192
0.383691	0.95954	5.49338	1239.08	1.21305	2.37275	5.6039	0.00950161	0.365206	0.00998714	0.00144884	99.9969	3.29995	7.50708
0.275244	1.05772	5.70301	347.135	1.84411	2.35896	4.81002	0.00198119	0.120588	4.453e-05	0.00390084	45.536	3.49984	6.24919
1.23158	0.255007	4.65639	305.863	1.59697	3.52103	3.3255	0.000419142	0.0451874	0.0276188	0.00997255	11.9851	20.7812	6.76689
0.340597	0.187744	5.28927	626.308	0.920879	1.90541	5.96349	0.000562356	0.337251	0.00117541	0.00888786	7.53968	13.5894	6.71933
2.85795	2.62676	4.78697	496.898	1.70928	2.94028	2.47422	0.000690627	0.162294	0.000191632	0.00620956	56.6079	3.61592	6.50115
0.247921	0.250609	5.31702	5420.59	7.64399	0.996254	5.21882	0.00311031	0.539089	0.957813	0.00979544	7.38718	9.8506	7.0458
0.021375	0.194905	5.19249	3593.1	0.0998703	5.87644	3.7171	3.85818e-05	0.573767	0.141432	0.00998355	9.42694	24.1933	7.50049
25.9498	10.2428	5.0326	290.393	1.33705	1.39183	2.29679	2.40871e-05	0.0250581	0.00199028	0.00374574	2.477	6.70306	6.33069
17.2834	0.366961	3.52113	434.027	2.68919	3.2702	3.78516	8.56239e-05	0.0325124	0.104658	0.00244156	15.3886	10.1894	6.78338
0.0782715	0.388843	6.80069	3580.53	0.106926	1.76902	5.54378	0.0882448	0.57423	0.00346221	0.00262305	3.64875	12.9051	7.87459
0.0398431	1.53666	5.55375	4831.73	0.043884	1.02382	4.66694	0.000241062	0.568844	9.90163e-06	0.00143097	99.9362	4.56078	7.25695
0.207291	0.735684	4.82074	346.211	1.76586	4.78221	4.8074	0.000147669	0.0555084	0.0175948	0.00152733	48.1872	9.62738	6.84006
0.449877	1.13665	5.74431	1966.6	0.0248815	4.87651	4.28322	0.0136337	0.00712853	0.049637	0.0023131	78.6249	2.27629	9.83469
2.42245	1.38988	4.36869	595.112	2.61965	2.92088	2.94464	0.0204594	0.0716966	0.3632	0.00151558	86.656	8.94255	7.15514
5.82519	0.543299	4.20984	422.47	2.24346	4.10691	4.54878	0.0207661	0.00956449	0.00314346	0.00175624	41.865	4.13716	6.98419
0.559836	1.00769	4.50635	2619.43	0.819379	5.09907	2.33372	0.0117487	0.477626	0.00992022	0.00140132	98.6224	24.8909	9.34988
0.109995	6.39249	6.05894	574.377	3.60111	4.21502	3.9343	0.000290832	0.16766	0.148115	0.00200703	96.1886	2.27766	5.43537
9.27076	2.78429	4.13499	319.936	3.151	3.67503	2.49055	0.0031439	0.0469935	0.000171378	0.00267733	99.6451	3.52777	5.59009
0.00990886	0.14351	6.45695	3519.59	0.0750967	2.20845	4.62161	0.0778435	0.575861	0.00814025	0.00987231	2.70966	23.8105	7.86667
0.179213	1.55297	5.95073	3264.43	0.0883312	5.39236	2.7958	0.0265938	0.543142	0.0233363	0.00411651	1.5665	10.1148	7.90303
3.33258	42.0994	5.54843	3015.6	0.729291	4.53214	1.4977	0.103301	0.461692	0.0119689	0.00758298	11.2296	6.38917	8.78096
0.239411	0.117161	5.09202	1600.6	1.00463	4.92543	5.33327	0.00382824	0.401993	0.00307812	0.00631597	78.2111	24.317	8.35436
0.682682	1.92096	6.18234	232.433	4.12366	3.55563	4.51584	0.00163205	0.0213671	0.00573389	0.0053176	99.3138	1.86778	4.57771
0.0224444	18.9508	5.60045	428.226	1.12916	3.81547	2.71157	0.00119422	0.19688	0.0749476	0.00126008	10.9737	6.81849	6.55777
